,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
382,4.0,7.0,273.0,475.0,Rumah,15200000000.0,1,"rumah batu tulis jakarta pusat.

rumah hitung tanah.

luas tanah 475 m2

(13m x 36.35m)

luas bangunan 273 m2

kamar tidur 5+1

kamar mandi 3

carport 2

garasi 2

listrik 4400 watt

air pam dan tanah

tahun bangun 1970an

bangunan 1 lantai

hadap selatan

serfifikat shm

*lokasi strategis di tengah kota jakarta pusat, posisi rumah di jalan raya* :

- 5 menit dari area perbelanjaan (carrefour duta merlin & gajah mada plaza)

- 2 menit dari minimarket (alfamart,indomaret)

- 5 menit dari tempat wisata kuliner pecenongan

- 5 menit dari pasar tradisional (pasar gang ceylon, pasar karang anyar)

- 2 menit dari halte busway harmoni

- 5 menit dari stasiun krl juanda

- 10 menit dari terminal bus senen

- 5 menit dari sekolah sd, smp, sma

- 10 menit dari rs husada, rsud tarakan, rs hermina kemayoran

- 2 menit dari perkantoran & atm bank dki, bank mandiri, bank bca, bank panin

- 5 menit dari pom bensin

- 1 menit dari masjid

- 3 menit dari gereja

- 10 menit dari tempat wisata monas & taman impian jaya ancol

- 5 menit dari hotel penginapan

(rumah strategis cocok untuk tempat usaha makanan/minuman, usaha kost-kostan/kontrakan karena posisi rumah dekat dengan perkantoran)

harga rp 31.5 jt / m2 (nego)

berminat serius bisa hubungi saya call/wa atau dengan fajar call/wa",Gambir,1,0,1,,2.0,0
383,3.0,4.0,50.0,60.0,Rumah,600000000.0,0,"raja property, sedang ada diskon launching puri anggrek residence
diskon hingga ratusan juta untuk rumah siap huni, dari harga 850 juta kini menjadi 600.000.000 juta. dan banyak promo seperti doprise 2 mobil honda brio, booking dapat sepede gunung
kelebihan cluster puri:
1. cluster minimalis dan klasik eropa 93 unit
2. one gate system
3. smart home
4. security 24 jam
5. row jalan bisa 2 mobil
6. tata ruang bagus
7. lebih murah dari harga pasaran
8. akses strategis
9. di pinggir jalan
10 cocok untuk investasi
11 ada dorrprize 2 mobil honda brio",Gambir,1,0,0,,2.0,0
384,11.0,11.0,350.0,206.0,lainnya,3500000000.0,0,"lt: 206 m2
lb: 350 m2
2 lantai
lebar muka 10m2
panjang 20,6m2",Gambir,1,0,0,,2.0,0
385,4.0,9.0,100.0,293.0,lainnya,7000000000.0,0,"dijual tanah & bangunan
* luas tanah 293 m2
* luas bangunan 100 m2
* 2 lantai,
* 8 kamar tidur",Gambir,1,0,0,,2.0,0
386,5.0,5.0,680.0,680.0,Rumah,28000000000.0,1,"dijual rumah di jalan kesehatan raya, petojo selatan, gambir, jakarta pusat 10160
lt = 680m2
lb = 680m2
1 lantai
shgb
kt = 4
km = 4
akses jalan raya, 2 mobil lebar
izin bisa dibangun 4 lantai
harga jual 28m nego",Gambir,1,0,0,,1.0,0
387,3.0,3.0,176.0,102.0,Rumah,2200000000.0,0,"rumah dijual di jalan petojo selatan

14 menit ke jalan kh hasyim ashari
dekat dengan pusat kuliner indonesia dan luar negeri dan apotik



detil",Gambir,1,0,0,,1.0,0
389,23.0,23.0,350.0,80.0,lainnya,3800000000.0,0,"jakarta barat, hayam wuruk
*kost baru 22 kamar, hayam wuruk / mangga besar*
*jual cepat! kost baru 22 kamar dgn net roi 10% / thn
harga 3,8m nego*
*lokasi super strategis!!!",Taman Sari,1,0,0,,1.0,0
390,5.0,5.0,250.0,100.0,Rumah,3000000000.0,0,"rumah ukuran 5 x 20
3 lantai 
jalan 2 mobil
lingkungan enak
jarang ada",Taman Sari,1,0,0,,1.0,0
391,3.0,4.0,150.0,50.0,lainnya,900000000.0,1,siap huni.shm.pancoran kota.,Taman Sari,1,0,0,,3.0,0
392,2.0,2.0,68.0,64.0,lainnya,875000000.0,1,"#r233
lt. 64 m2, lb. 68 m2, bangunan 2 lantai, shm, kamar tidur 1,kamar mandi 1, garasi 1
lokai tidak terkena banjir",Taman Sari,1,0,0,,3.0,0
