,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
13,2,4,51.0,182.0,Rumah,5600000000,1,"['spesifikasi :', '* luas tanah 182 m2', '* luas bangunan 51 m2', '* kamar tidur 4', '* kamar mandi 2', '* 1 lantai', '* listrik 1300 watt', '* air jetpam', '* shm dan imb', '* keamanan 24jam', '* kondisi bangunan bagus dan siap huni', '* lingkungan aman dan nyaman', none, 'akses dekat :', '* sekolahan', '* rumah sakit', '* tempat ibadah', '* pasar', '* pusat keramaian', '* pusat kuliner', '* tol , dll', none, '-faj-']",Tebet,1,0,0,1300,1.0,0
14,2,3,48.0,60.0,lainnya,600000008,1,"['*adipati residence sudimara @bintaro*', none, 'cluster satu-satunya berkonsep tod di tangsel dekat jaksel', none, 'promo khusus minggu ini sebelum harga naik!', none, '- free biaya surat2 ajb,bphtb,bbn,ppn,shm', '- free ac 1 unit', '- free design layout sesuai selera', '- jaminan sewa 20-25 juta/tahun', '*skb* ', none, 'payment only : ', none, '- hard cash 689 juta nego di tempat sampai jadi', '- instalment 6x', '- kta khusus pns/bumn/tni/polri bunga rendah dan flat ber-payroll', none, 'didukung lokasi yg strategis:', none, '- 1 menit ke st.sudimara', '- 5 menit ke universitas pembangunan jaya', '- 8 menit ke tol pd.aren', '- 10 menit ke mall bxc', '- 12 menit ke rs international bintaro', none, '- 2 lantai 3kt 2km', '- one gate syestem', '- carport 2 mobil  ', '- keamanan 24 jam + cctv', '- harga perdana jelas kami jamin paling termurah', none, 'eki (nego direct owner)']",Cilandak,1,0,0,0.0,2.0,0
15,2,3,100.0,249.0,Rumah,3500000000,1,"['jual rumah hoek di sunter pratama\r', 'uk. 249m, 1 lantai\r', '3 kmr tidur, 2 kmr mandi\r', 'sertifikat hak milik, hadap timur-selatan\r', 'harga 3,5 m\r', 'contact no sms, tolong telp saja kalau serius ya, thanks)']",Tanjung Priok,0,0,0,0.0,1.0,0
16,4,4,250.0,150.0,Rumah,3300000000,1,"['dijual rumah di jln pinang barat 1 , pondok labu cilandak jakarta selatan', none, 'selling point :', none, '- one gate system', '- lokasi aman, tenang dan bebas banjir', '- posisi rumah di pojok', none, 'bangunan 2,5 lantai', none, 'luas tanah 150 m2', 'luas bangunan 250 m2', none, 'kamar tidur 4', 'kamar mandi 4', none, 'carport 3 mobil', none, '- semua kamar ada kamar mandi dalam', '- ruang tamu, ruang keluarga, gudang, ruang cuci ', '- mushola', '- dapur', '- shm, imb, pbb', none, 'harga 3,3 m nego', none, 'utk info hub :', 'agus supriyanto', 'tlp/wa']",Cilandak,1,0,0,0.0,3.0,0
17,4,4,160.0,112.0,Rumah,1350000000,1,"['rumah siap huni lokasi strategis dekat dengan akses tol lt 112 meter nego', none, none, 'di jual rumah di dalam cluster perumahan\xa0 2lt siap huni\xa0', none, 'suasana nyaman dan asri bebas banjir\xa0 lingkungan aman one gate system dekat dengan akses tol , dekat dengan akses sekolah , dekat dengan fasum\xa0', none, 'spesifikasi', none, 'luas tanah : 112 m', none, 'luas bangunan : +-160 m', none, 'kamar tidur : 3+1', none, 'kamar mandi : 3+1', none, 'shm', none, 'harga : 1.350 m / nego', none, 'lokasi : raffles hills cibubur']",Koja,1,0,0,0.0,2.0,0
18,2,2,150.0,210.0,Rumah,4300000000,1,"['ip2234: dijual rumah lama pinggir jalan ramai strategis area jelambar', none, 'lt 210 m2 (10×21), lb 150 m2, 1 lantai.', 'kt 2, km 2, shm, hadap selatan, ruas jalan 2 mobil ramai.', 'harga 4.3m nego. cash only', none, 'peminat serius hub:', 'integrity property', 'ridwan']",Grogol Petamburan,1,0,0,0.0,1.0,0
20,1,2,36.0,60.0,Rumah,135000000,1,"['mau punya rumah dengan pembayaran cicil pribadi, tanpa bunga, tanpa bi ceking, tanpa sita cuma disini adanya.', none, '  cash keras', '    cicil pribadi', '      cash bertahap', none, 'lokasi bebas banjir', 'akses jalan masuk mobil', 'surat sertifikat hak milik ( shm )', none, 'luas tanah : 60m', 'luas bangunan : 36m', 'kamar tidur : 2', 'kamar mandi : 1', 'ruang tamu', 'dapur', 'teras', 'taman', 'carport', '-', 'pondasi batu kali + cakar ayam', 'lantai granit', 'dinding hebel dobel dinding', 'closed duduk', 'atap genteng', 'listrik token 1300', 'air sumur bor pantek jetpump', 'pintu panel', 'kusen almunium', 'plafond gypsum', none, '-', 'tersedia type yg lebih besar .', 'tersedia rumah 2 lantai .', none, '-', 'lokasi disawangan kota depok', '5 menit ke gerbang tol sawangan', 'dekat mall dtc , mall cinere , kubah mas', 'dekat sekolahan swasta-negri', 'dekat kampus ternama', 'dekat alfamidi , atm , indomart , dll', 'dekat wisata air putri duyung', 'dekat puskesmas , apotik , bidan , dll', '10 menit ke stasiun , terminal depok , itc depok , plaza depok , margo city , dll .', none, '-', 'survey lokasi ', 'hubungi nomor yg ada di iklan', '    tlpn / wa.', none, '""']",Duren Sawit,1,0,1,130,1.0,0
21,>10,>10,1422.0,852.0,lainnya,54000000000,1,"['dijual', 'terdapat 8 unit, tersewa 100%, dengan fasilitas fitness dan swimming pool.', none, 'lokasi strategis, nyaman elite. dekat pusat bisnis scbd sudirman, senayan, kemang, rasuna said kuningan gatot subroto.', none, 'spesifikasi:', '- luas tanah: 852 m', '- luas bangunan: 1.422 m', '- 2 lantai + basement.', '- jumlah unit hostel / apartment: 8', '- occufancy: full 100% tersewa', '- legalitas: shm + imb', '- swimming pool', '- carport: +/- 10', none, 'harga: rp 54 milyar nego']",Kebayoran Baru,1,1,0,0.0,2.0,0
22,3,5,300.0,152.0,Rumah,2500000000,1,"['jual rumah di rawamangun', 'uk. 152m, 2,5 lantai', '5 kmr tidur, 3 kmr mandi', 'sertifikat hak milik', 'harga 2,5 m', 'no sms, tolong telp saja kalau serius ya, tq']",Pulo Gadung,0,0,0,0.0,2.0,0
23,2,3,50.0,67.0,Rumah,700000000,1,"['cari rumah lokasi strategis dan harga murah? dimana lagi kalo bukan disini!', none, 'adipati resort ciputat', none, 'hunian mewah 2 lantai', 'anti banjir 1000%', none, 'unik dan banyak penawaran menarik!', none, 'harga irit bisa nego', 'bisa custom layout suka-suka!', none, 'free shm senilai 50jtan!!!', none, 'lokasi super strategis :', '-2 menit ke rs. sari asih ciputat', '-5 menit ke sekolah insan cendikia', '-5 menit ke busway ciputat dan pintu toll cinere-depok', '-10 menit ke kampus unpam / uin ciputat', '-10 menit ke stasiun sudimara', '-15 menit ke mall bxc bintaro', '-15 menit ke mrt lebak bulus', none, 'survey yuk! makin cepat beli makin untung!']",Pesanggrahan,1,0,0,0.0,2.0,0
