,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,listrik,jumlah_lantai
3406,4,6,225.0,375.0,5000000000.0,Duren Sawit,True,True,False,False,4400.0,2
3407,4,4,95.0,91.0,1178799990.0,Cipayung,True,False,True,False,2200.0,2
3408,3,3,52.0,85.0,896000000.0,Ciracas,True,True,True,False,2200.0,1
3409,4,4,94.0,84.0,1740000000.0,Cipayung,True,True,True,False,2200.0,2
3410,3,4,80.0,69.0,1750000000.0,Kramat Jati,True,False,True,False,2200.0,3
3411,3,4,109.0,104.0,1100000000.0,Cipayung,True,False,True,False,2200.0,1
3412,4,4,225.0,288.0,3000000000.0,Cakung,True,False,True,False,2200.0,2
3413,4,4,85.0,105.0,1880000000.0,Cakung,True,False,True,False,2200.0,2
3414,3,4,83.0,62.0,1299000000.0,Cipayung,True,False,False,False,2200.0,2
3415,5,5,118.0,170.0,2600000000.0,Pulo Gadung,True,False,False,False,2200.0,2
3416,3,4,88.0,109.0,1300000000.0,Ciracas,True,False,False,False,2200.0,2
3417,4,7,181.0,151.0,950000000.0,Ciracas,True,False,True,False,2200.0,1
3418,6,7,225.0,375.0,5000000000.0,Duren Sawit,True,True,False,False,4400.0,2
3419,5,7,300.0,296.0,6500000000.0,Cakung,True,False,False,False,2200.0,2
3420,3,4,145.0,102.0,2200000000.0,Kramat Jati,True,False,True,False,2200.0,2
3421,4,4,230.0,330.0,5500000000.0,Cipayung,True,False,True,False,5500.0,4
3422,5,3,500.0,323.0,8500000000.0,Pulo Gadung,True,False,False,False,2200.0,2
3423,4,5,120.0,150.0,3200000000.0,Pulo Gadung,True,False,True,False,2200.0,2
3424,4,5,229.0,220.0,3800000000.0,Cakung,True,False,True,False,3500.0,2
3425,7,8,530.0,603.0,10500000000.0,Pulo Gadung,True,False,False,False,2200.0,2
3426,3,4,160.0,200.0,2400000000.0,Ciracas,True,False,True,False,2200.0,2
3427,5,6,400.0,373.0,7100000000.0,Kramat Jati,True,False,True,False,2200.0,2
3428,11,12,1000.0,1810.0,17500000000.0,Cipayung,True,False,True,False,2200.0,2
3429,4,7,260.0,120.0,3700000000.0,Duren Sawit,True,False,True,False,2200.0,2
3430,6,6,465.0,506.0,22100000000.0,Cakung,True,True,True,False,2200.0,3
3431,6,9,250.0,309.0,5500000000.0,Duren Sawit,True,False,False,False,2200.0,2
3432,3,3,58.0,90.0,1525000000.0,Cakung,True,False,True,False,2200.0,2
3433,4,5,100.0,70.0,1350000000.0,Pasar Rebo,True,False,False,False,2200.0,2
3434,3,4,75.0,90.0,1600000000.0,Cakung,True,False,False,False,2200.0,2
3435,3,4,79.0,84.0,1909000000.0,Cakung,True,True,True,True,2200.0,2
3436,4,6,240.0,140.0,4900000000.0,Duren Sawit,True,False,False,False,2200.0,2
3437,4,5,250.0,228.0,3300000000.0,Cakung,True,False,True,False,2200.0,2
3438,4,5,124.0,126.0,2378750000.0,Cipayung,True,True,False,False,3500.0,2
3439,5,6,200.0,220.0,3850000000.0,Cakung,True,False,False,False,3500.0,2
3440,6,7,500.0,323.0,8500000000.0,Pulo Gadung,True,False,False,False,3500.0,3
3441,5,5,600.0,400.0,4800000000.0,Duren Sawit,True,False,False,False,3500.0,3
3442,3,4,125.0,132.0,1880000000.0,Cakung,True,False,True,False,3500.0,2
3443,3,4,75.0,90.0,1600000000.0,Cakung,True,False,True,False,3500.0,2
3444,3,4,86.0,105.0,1800000000.0,Cakung,True,False,True,False,3500.0,2
3445,4,4,156.0,148.0,2300000000.0,Cakung,True,False,True,False,3500.0,2
3446,3,4,76.0,102.0,1650000000.0,Cakung,True,False,True,False,3500.0,2
3447,5,5,147.0,168.0,3550000000.0,Cakung,True,False,True,False,3500.0,2
3448,4,5,240.0,140.0,3650000000.0,Duren Sawit,True,False,False,False,3500.0,2
3449,3,4,109.0,104.0,1100000000.0,Cipayung,True,False,True,False,3500.0,1
3450,4,5,127.0,170.0,2800000000.0,Cakung,True,False,True,False,3500.0,2
3451,4,7,270.0,198.0,3200000000.0,Cakung,True,False,True,False,3500.0,2
3452,3,4,69.0,112.0,2250000000.0,Ciracas,True,False,False,False,3500.0,2
3453,5,6,144.0,144.0,3509000000.0,Cakung,True,True,True,True,3500.0,2
3454,6,7,136.0,358.0,4500000000.0,Kramat Jati,True,True,True,False,3500.0,2
3455,4,5,136.0,136.0,2500000000.0,Cakung,True,False,True,False,3500.0,2
3456,4,6,180.0,65.0,1700000000.0,Pulo Gadung,True,False,False,False,3500.0,3
3457,4,4,155.0,121.0,1900000000.0,Cipayung,True,False,False,False,3500.0,2
3458,4,7,250.0,428.0,1800000000.0,Cakung,True,False,False,False,3500.0,2
3459,3,4,90.0,78.0,850000000.0,Duren Sawit,True,False,False,False,3500.0,1
3460,4,4,130.0,95.0,1725300000.0,Cipayung,True,False,True,False,3500.0,2
3461,3,4,120.0,68.0,1200000000.0,Duren Sawit,True,False,False,False,3500.0,2
3462,2,4,74.0,55.0,815000000.0,Cakung,True,False,False,False,3500.0,1
3463,3,3,75.0,90.0,1100000000.0,Cakung,True,False,False,False,3500.0,2
3464,4,4,200.0,600.0,10000000000.0,Pulo Gadung,True,True,True,False,3500.0,2
3465,7,7,390.0,670.0,9500000000.0,Duren Sawit,True,False,True,False,3500.0,1
3466,17,17,143.0,143.0,1700000000.0,Cakung,True,False,False,False,3500.0,3
3467,4,4,120.0,90.0,1700000000.0,Duren Sawit,True,False,False,False,3500.0,2
3468,5,6,285.0,270.0,4500000000.0,Pulo Gadung,True,False,False,False,3500.0,2
3469,2,3,80.0,90.0,1000000000.0,Cakung,True,False,False,False,3500.0,1
3470,3,4,100.0,120.0,1300000000.0,Cakung,True,False,True,False,3500.0,1
