,index,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,jumlah_lantai,listrik
6139,10124,5,7,223.0,194.0,6400000000.0,Tanah Abang,True,False,False,False,1,2200.0
6140,10127,3,4,110.0,70.0,1500000000.0,Kemayoran,True,False,False,False,3,2200.0
6141,10129,3,8,280.0,374.0,3800000000.0,Kemayoran,True,False,False,False,1,2200.0
6142,10130,12,12,215.0,315.0,16500000000.0,Tanah Abang,True,False,False,False,1,2200.0
6143,10133,5,5,200.0,144.0,3000000000.0,Sawah Besar,True,False,False,False,2,2200.0
6144,10134,3,4,160.0,72.0,1900000000.0,Kemayoran,True,False,False,False,2,2200.0
6145,10135,3,3,120.0,40.0,1200000000.0,Sawah Besar,True,False,False,False,2,2200.0
6146,10136,4,6,250.0,380.0,10800000000.0,Menteng,True,False,False,False,2,2200.0
6147,10142,6,7,300.0,225.0,7500000000.0,Cempaka Putih,True,False,False,False,3,2200.0
6148,10144,8,8,1200.0,1176.0,165000000000.0,Menteng,True,False,False,False,3,2200.0
6149,10146,3,5,72.0,108.0,3200000000.0,Tanah Abang,True,False,False,False,2,2200.0
6150,10147,3,7,252.0,130.0,2900000000.0,Gambir,True,False,False,False,2,2200.0
6151,10153,6,8,1000.0,59.0,19000000000.0,Kemayoran,True,True,False,False,2,2200.0
6152,10159,3,5,150.0,95.0,1500000000.0,Cempaka Putih,True,False,False,False,1,2200.0
6153,10162,7,8,1200.0,1176.0,170000000000.0,Menteng,True,True,False,False,1,2200.0
6154,10163,3,5,105.0,120.0,1350000000.0,Sawah Besar,True,False,False,False,1,2200.0
6155,10164,7,11,500.0,1070.0,59000000000.0,Menteng,True,True,False,False,1,2200.0
6156,10165,6,15,500.0,1081.0,100000000000.0,Menteng,True,False,False,False,1,2200.0
6157,10167,5,7,250.0,219.0,3500000000.0,Johar Baru,True,False,False,False,2,3300.0
6158,10168,4,9,320.0,197.0,4000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6159,10169,6,7,450.0,300.0,7250000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6160,10173,4,6,138.0,44.0,1200000000.0,Sawah Besar,True,False,False,False,2,2200.0
6161,10174,5,3,135.0,75.0,2500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6162,10175,4,5,916.0,758.0,22000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6163,10176,3,3,100.0,60.0,2200000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6164,10178,5,5,150.0,74.0,2300000000.0,Cempaka Putih,True,False,False,False,3,2200.0
6165,10179,6,5,900.0,589.0,40000000000.0,Menteng,True,False,False,False,3,2200.0
6166,10180,6,7,410.0,317.0,8500000000.0,Cempaka Putih,True,False,True,False,2,2200.0
6167,10182,4,6,160.0,84.0,2500000000.0,Kemayoran,True,False,False,False,3,2200.0
6168,10189,4,8,402.0,134.0,5875000000.0,Tanah Abang,True,False,False,False,2,2200.0
6169,10190,4,5,401.0,120.0,11000000000.0,Menteng,True,True,False,False,3,2200.0
6170,10198,9,12,152.0,157.0,2100000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6171,10200,8,10,1000.0,650.0,17000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6172,10201,5,5,197.0,151.0,5300000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6173,10202,4,4,600.0,720.0,68000000000.0,Menteng,True,False,False,False,2,2200.0
6174,10209,4,5,183.0,195.0,2700000000.0,Senen,True,False,False,False,2,2200.0
6175,10210,4,9,400.0,560.0,7500000000.0,Johar Baru,True,False,False,False,2,2200.0
6176,10212,9,9,2000.0,693.0,95000000000.0,Menteng,True,False,False,False,2,2200.0
6177,10213,6,6,505.0,719.0,38000000000.0,Menteng,True,False,False,False,2,2200.0
6178,10214,4,6,600.0,572.0,25000000000.0,Menteng,True,False,False,False,1,2200.0
6179,10219,4,6,318.0,680.0,65000000000.0,Menteng,True,False,False,False,1,2200.0
6180,10224,4,5,110.0,35.0,890000000.0,Senen,True,False,False,False,3,2200.0
6181,10226,6,8,300.0,533.0,30000000000.0,Menteng,True,False,False,False,1,2200.0
6182,10231,4,5,285.0,200.0,10500000000.0,Kemayoran,True,False,False,False,3,2200.0
6183,10232,4,6,400.0,867.0,87000000000.0,Menteng,True,False,False,False,3,2200.0
6184,10236,3,4,162.0,81.0,750000000.0,Menteng,True,False,False,False,2,2200.0
6185,10237,3,4,21.0,60.0,535000000.0,Cempaka Putih,True,False,False,False,3,2200.0
6186,10242,5,6,223.0,223.0,12000000000.0,Senen,True,False,False,False,1,2200.0
6187,10247,3,8,220.0,160.0,3900000000.0,Sawah Besar,True,False,False,False,2,2200.0
6188,10248,8,15,400.0,250.0,7500000000.0,Kemayoran,True,False,False,False,2,2200.0
6189,10249,3,6,250.0,396.0,15000000000.0,Tanah Abang,True,False,False,False,2,2200.0
6190,10250,9,10,392.0,410.0,12500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6191,10251,4,7,224.0,168.0,3000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6192,10252,3,4,190.0,258.0,15500000000.0,Tanah Abang,True,False,False,False,2,2200.0
6193,10254,3,15,600.0,317.0,17500000000.0,Tanah Abang,True,False,False,False,4,2200.0
6194,10256,11,11,92.0,92.0,1800000000.0,Johar Baru,True,False,False,False,1,2200.0
6195,10257,3,5,300.0,420.0,29500000000.0,Menteng,True,False,True,False,1,2200.0
6196,10259,6,7,350.0,148.0,6500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6197,10260,4,6,1500.0,662.0,81000000000.0,Menteng,True,False,False,False,2,2200.0
6198,10263,5,5,1108.0,1105.0,25000000000.0,Senen,True,False,False,False,2,2200.0
6199,10264,3,2,88.0,50.0,850000000.0,Sawah Besar,True,False,False,False,2,2200.0
6200,10266,2,3,110.0,130.0,3100000000.0,Senen,True,False,False,False,2,2200.0
6201,10267,3,5,160.0,160.0,2900000000.0,Kemayoran,True,False,False,False,2,2200.0
6202,10268,3,4,110.0,128.0,3500000000.0,Kemayoran,True,False,False,False,2,2200.0
6203,10269,4,5,250.0,108.0,3100000000.0,Kemayoran,True,False,False,False,2,2200.0
6204,10272,5,5,645.0,667.0,49000000000.0,Menteng,True,False,False,False,1,2200.0
6205,10274,4,5,50.0,72.0,2000000000.0,Sawah Besar,True,False,False,False,1,2200.0
6206,10275,3,6,467.0,500.0,12500000000.0,Cempaka Putih,True,False,False,False,1,2200.0
6207,10276,8,25,396.0,400.0,11000000000.0,Johar Baru,True,False,False,False,1,2200.0
6208,10277,5,7,191.0,180.0,6000000000.0,Kemayoran,True,False,False,False,2,2200.0
6209,10279,4,6,200.0,287.0,3800000000.0,Cempaka Putih,True,False,False,False,1,2200.0
6210,10280,4,6,950.0,1105.0,33000000000.0,Senen,True,False,False,False,1,2200.0
6211,10286,19,19,300.0,176.0,3500000000.0,Kemayoran,True,False,False,False,1,2200.0
6212,10287,6,8,400.0,308.0,15200000000.0,Menteng,True,False,False,False,1,2200.0
6213,10299,6,5,182.0,81.0,2575000000.0,Kemayoran,True,False,False,False,3,2200.0
6214,10302,4,5,285.0,200.0,10500000000.0,Kemayoran,True,False,False,False,3,2200.0
6215,10306,5,6,350.0,200.0,4499000000.0,Cempaka Putih,True,False,False,False,3,2200.0
6216,10311,5,8,150.0,149.0,4900000000.0,Tanah Abang,True,False,False,False,2,2200.0
6217,10313,11,11,400.0,150.0,8000000000.0,Menteng,True,False,False,False,2,2200.0
6218,10316,5,8,800.0,1000.0,117000000000.0,Menteng,True,True,False,True,2,2200.0
6219,10317,6,6,384.0,317.0,8000000000.0,Kemayoran,True,False,True,False,2,2200.0
6220,10318,3,3,175.0,204.0,4500000000.0,Senen,True,False,False,False,2,2200.0
6221,10330,7,8,550.0,216.0,7000000000.0,Kemayoran,True,False,False,False,1,2200.0
6222,10333,5,6,400.0,213.0,10000000000.0,Tanah Abang,True,False,False,False,1,2200.0
6223,10334,5,17,180.0,168.0,7000000000.0,Tanah Abang,True,False,False,False,1,2200.0
6224,10335,5,5,250.0,225.0,8000000000.0,Cempaka Putih,True,False,True,False,2,2200.0
6225,10342,5,8,282.0,382.0,9200000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6226,10344,3,4,112.0,112.0,3900000000.0,Sawah Besar,True,False,False,False,2,2200.0
6227,10345,3,4,123.0,78.0,1800000000.0,Kemayoran,True,False,False,False,2,2200.0
6228,10350,3,4,120.0,63.0,2500000000.0,Kemayoran,True,False,False,False,2,2200.0
6229,10353,20,20,300.0,298.0,10000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6230,10354,2,2,300.0,602.0,45150000000.0,Menteng,True,False,False,False,1,2200.0
6231,10355,8,10,850.0,958.0,1680000000.0,Menteng,True,False,False,False,1,2200.0
6232,10357,3,7,240.0,248.0,3300000000.0,Kemayoran,True,False,False,False,2,2200.0
6233,10358,6,7,350.0,150.0,3200000000.0,Kemayoran,True,False,False,False,2,2200.0
6234,10359,4,5,400.0,801.0,49999999999.0,Menteng,True,False,False,False,2,2200.0
6235,10360,6,7,460.0,300.0,6500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6236,10362,3,6,190.0,190.0,2250000000.0,Kemayoran,True,False,False,False,1,2200.0
6237,10363,5,9,184.0,128.0,3250000000.0,Johar Baru,True,False,False,False,2,2200.0
6238,10367,5,6,900.0,754.0,65000000000.0,Menteng,True,False,False,False,2,2200.0
6239,10371,19,16,600.0,269.0,17500000000.0,Tanah Abang,True,False,False,False,2,2200.0
6240,10372,2,2,500.0,917.0,80000000000.0,Menteng,True,False,False,False,4,2200.0
6241,10374,5,4,300.0,152.0,5900000000.0,Menteng,True,False,False,False,4,2200.0
6242,10375,16,16,280.0,77.0,5000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6243,10381,4,5,330.0,350.0,9000000000.0,Kemayoran,True,False,False,False,2,2200.0
6244,10382,3,3,100.0,81.0,2250000000.0,Johar Baru,True,False,False,False,2,2200.0
6245,10383,7,5,250.0,179.0,5500000000.0,Cempaka Putih,True,False,False,False,2,2200.0
6246,10384,4,5,250.0,642.0,7000000000.0,Kemayoran,True,False,False,False,2,2200.0
6247,10385,11,11,2000.0,700.0,105000000000.0,Menteng,True,False,False,False,2,2200.0
